,movieid,moviename,genres
2182,710,GoldenEye,12
2183,710,GoldenEye,28
2184,710,GoldenEye,53
2185,2275,The General's Daughter,80
2186,2275,The General's Daughter,18
2187,2275,The General's Daughter,9648
2188,2275,The General's Daughter,53
2189,37165,The Truman Show,35
2190,37165,The Truman Show,18
2191,9837,The Prince of Egypt,12
2192,9837,The Prince of Egypt,16
2193,9837,The Prince of Egypt,18
2194,9837,The Prince of Egypt,10751
2195,9837,The Prince of Egypt,10402
2196,10708,Daddy Day Care,35
2197,10708,Daddy Day Care,10751
2198,136400,2 Guns,28
2199,136400,2 Guns,35
2200,136400,2 Guns,80
2201,10992,Cats & Dogs,35
2202,10992,Cats & Dogs,10751
2203,9654,The Italian Job,28
2204,9654,The Italian Job,80
2205,2642,Two Weeks Notice,10749
2206,2642,Two Weeks Notice,35
2207,8916,Antz,12
2208,8916,Antz,16
2209,8916,Antz,35
2210,8916,Antz,10751
2211,19899,Couples Retreat,35
2212,19899,Couples Retreat,10749
2213,2119,Days of Thunder,12
2214,9641,Cheaper by the Dozen 2,35
2215,294254,Maze Runner: The Scorch Trials,28
2216,38167,Eat Pray Love,18
2217,5994,The Family Man,35
2218,5994,The Family Man,18
2219,5994,The Family Man,10749
2220,5994,The Family Man,14
2221,39514,RED,28
2222,39514,RED,12
2223,39514,RED,35
2224,39514,RED,80
2225,39514,RED,53
2226,9563,Any Given Sunday,18
2227,547,The Horse Whisperer,18
2228,547,The Horse Whisperer,10749
2229,1538,Collateral,18
2230,1538,Collateral,80
2231,1538,Collateral,53
2232,9334,The Scorpion King,28
2233,9334,The Scorpion King,14
2234,9334,The Scorpion King,12
2235,11128,Ladder 49,18
2236,11128,Ladder 49,28
2237,11128,Ladder 49,53
2238,75780,Jack Reacher,80
2239,75780,Jack Reacher,18
2240,75780,Jack Reacher,53
2241,8914,Deep Blue Sea,28
2242,8914,Deep Blue Sea,878
2243,8914,Deep Blue Sea,53
2244,13576,This Is It,10402
2245,13576,This Is It,99
2246,39538,Contagion,18
2247,39538,Contagion,53
2248,39538,Contagion,878
2249,10628,Kangaroo Jack,35
2250,10628,Kangaroo Jack,12
2251,10628,Kangaroo Jack,80
2252,14836,Coraline,16
2253,14836,Coraline,10751
2254,8645,The Happening,53
2255,8645,The Happening,878
2256,9509,Man on Fire,28
2257,9509,Man on Fire,18
2258,9509,Man on Fire,53
2259,9509,Man on Fire,80
2260,10067,The Shaggy Dog,35
2261,10067,The Shaggy Dog,10751
2262,9384,Starsky & Hutch,35
2263,9384,Starsky & Hutch,80
2264,9279,Jingle All the Way,10751
2265,9279,Jingle All the Way,35
2266,1487,Hellboy,14
2267,1487,Hellboy,28
2268,1487,Hellboy,878
2269,9422,A Civil Action,18
2270,77174,ParaNorman,10751
2271,77174,ParaNorman,16
2272,77174,ParaNorman,12
2273,77174,ParaNorman,35
2274,4824,The Jackal,28
2275,4824,The Jackal,53
2276,4824,The Jackal,12
2277,4824,The Jackal,80
2278,9620,Paycheck,28
2279,9620,Paycheck,12
2280,9620,Paycheck,9648
2281,9620,Paycheck,878
2282,9620,Paycheck,53
2283,9302,Up Close & Personal,18
2284,9302,Up Close & Personal,10749
2285,10199,The Tale of Despereaux,12
2286,10199,The Tale of Despereaux,16
2287,10199,The Tale of Despereaux,10751
2288,10771,The Tuxedo,53
2289,10771,The Tuxedo,28
2290,10771,The Tuxedo,35
2291,10771,The Tuxedo,878
2292,3512,Under Siege 2: Dark Territory,28
2293,3512,Under Siege 2: Dark Territory,53
2294,137094,Jack Ryan: Shadow Recruit,28
2295,137094,Jack Ryan: Shadow Recruit,18
2296,137094,Jack Ryan: Shadow Recruit,53
