,g_name,g_id,votecount
10147,Crime,80,173
10148,Horror,27,129
10149,Action,28,47
10150,Comedy,35,47
10151,Western,37,47
10152,Crime,80,82
10153,Drama,18,82
10154,Drama,18,46
10155,Action,28,35
10156,Drama,18,35
10157,Thriller,53,35
10158,Crime,80,35
10159,Mystery,9648,35
10160,Crime,80,158
10161,Drama,18,158
10162,Mystery,9648,158
10163,Thriller,53,158
10164,Mystery,9648,1434
10165,Horror,27,1434
10166,Action,28,8
10167,Comedy,35,8
10168,Comedy,35,70
10169,Romance,10749,70
10170,Drama,18,81
10171,Crime,80,626
10172,Drama,18,626
10173,Mystery,9648,626
10174,Romance,10749,626
10175,Horror,27,36
10176,Thriller,53,36
10177,Horror,27,742
10178,Comedy,35,742
10179,Fantasy,14,742
10180,Action,28,43
10181,Comedy,35,43
10182,TV Movie,10770,476
10183,Horror,27,476
10184,Drama,18,4
10185,Foreign,10769,4
10186,Fantasy,14,583
10187,Horror,27,583
10188,Comedy,35,9
10189,Romance,10749,9
10190,Comedy,35,28
10191,Drama,18,28
10192,Action,28,90
10193,Crime,80,7
10194,Action,28,7
10195,Crime,80,10
10196,Drama,18,10
10197,Mystery,9648,10
10198,Thriller,53,10
10199,Action,28,1
10200,Crime,80,1
10201,Comedy,35,1
10202,Thriller,53,1
10203,Drama,18,0
10204,Horror,27,10
10205,Thriller,53,10
10206,Mystery,9648,10
10207,Action,28,419
10208,Animation,16,419
10209,Documentary,99,0
10210,Action,28,19
10211,Adventure,12,19
10212,Drama,18,19
10213,Fantasy,14,19
10214,Action,28,37
10215,Drama,18,37
10216,Thriller,53,37
10217,Drama,18,11
10218,Crime,80,6
10219,Mystery,9648,6
10220,Thriller,53,6
10221,Comedy,35,84
10222,Music,10402,84
10223,Documentary,99,358
10224,Family,10751,358
10225,Thriller,53,524
10226,Drama,18,524
10227,Drama,18,15
10228,Comedy,35,127
10229,Drama,18,127
10230,Drama,18,4254
10231,Drama,18,1814
10232,Crime,80,1814
10233,Comedy,35,97
10234,Drama,18,97
10235,Drama,18,47
10236,Music,10402,47
10237,Mystery,9648,66
10238,Drama,18,66
10239,Crime,80,66
10240,Thriller,53,66
10241,Drama,18,927
10242,Comedy,35,344
10243,Family,10751,344
10244,Drama,18,37
10245,Romance,10749,37
10246,Action,28,66
10247,Drama,18,66
10248,Horror,27,66
10249,Crime,80,66
10250,Thriller,53,66
10251,Comedy,35,9
10252,Romance,10749,1
10253,Drama,18,1
10254,Drama,18,174
10255,Horror,27,863
10256,Drama,18,863
10257,Mystery,9648,863
10258,Western,37,265
10259,Drama,18,150
10260,Romance,10749,150
10261,Drama,18,101
10262,Thriller,53,101
10263,Crime,80,101
10264,Drama,18,347
10265,Romance,10749,347
10266,Comedy,35,347
10267,Action,28,160
10268,Comedy,35,160
10269,Horror,27,160
10270,Comedy,35,418
10271,Adventure,12,987
10272,Action,28,987
10273,Thriller,53,987
10274,Science Fiction,878,112
10275,Horror,27,112
10276,Drama,18,1076
10277,Family,10751,1076
10278,Fantasy,14,1076
10279,Drama,18,2655
10280,Crime,80,2655
10281,Comedy,35,15
10282,Horror,27,722
10283,Thriller,53,722
10284,Comedy,35,54
10285,Romance,10749,54
10286,Documentary,99,453
10287,Drama,18,49
10288,Horror,27,361
10289,Drama,18,156
10290,Romance,10749,156
10291,Science Fiction,878,2428
10292,Horror,27,2428
10293,Thriller,53,2428
10294,Horror,27,1573
10295,Thriller,53,1573
10296,Mystery,9648,1573
10297,Comedy,35,1
10298,Drama,18,165
10299,Romance,10749,165
10300,Adventure,12,361
10301,Science Fiction,878,361
10302,Mystery,9648,361
10303,Comedy,35,106
10304,Family,10751,106
10305,Drama,18,106
10306,Adventure,12,137
10307,Fantasy,14,137
10308,Animation,16,137
10309,Action,28,137
10310,Family,10751,137
10311,Horror,27,216
10312,Mystery,9648,216
10313,Thriller,53,216
10314,Drama,18,542
10315,History,36,542
10316,War,10752,542
10317,Comedy,35,25
10318,Family,10751,25
10319,Science Fiction,878,25
10320,Comedy,35,86
10321,Crime,80,86
10322,Thriller,53,86
10323,Comedy,35,483
10324,Drama,18,483
10325,Romance,10749,483
10326,Fantasy,14,193
10327,Horror,27,193
10328,Thriller,53,193
10329,Mystery,9648,120
10330,Thriller,53,120
10331,Comedy,35,28
10332,Documentary,99,28
10333,Music,10402,28
10334,Romance,10749,367
10335,Thriller,53,367
10336,Western,37,367
10337,Drama,18,11
10338,Music,10402,11
10339,Romance,10749,11
10340,Action,28,36
10341,Comedy,35,36
10342,Crime,80,36
10343,Drama,18,41
10344,Drama,18,155
10345,History,36,155
10346,Comedy,35,4
10347,Romance,10749,4
10348,Western,37,82
10349,Comedy,35,10
10350,Romance,10749,10
10351,Romance,10749,568
10352,Drama,18,568
10353,Comedy,35,46
10354,Fantasy,14,46
10355,Family,10751,46
10356,Action,28,94
10357,Horror,27,94
10358,Science Fiction,878,94
10359,Thriller,53,94
10360,Drama,18,3
10361,Comedy,35,19
10362,Drama,18,19
10363,Drama,18,34
10364,Foreign,10769,34
10365,Romance,10749,34
10366,Comedy,35,59
10367,Comedy,35,11
10368,Romance,10749,11
10369,Drama,18,35
10370,History,36,35
10371,Romance,10749,35
